Date,Close,High,Low,Open,Volume,Ticker,Year,Month,Day
2015-01-02,24.32,24.79,23.88,24.78,212818400,AAPL,2015,1,2
2015-01-05,23.64,24.17,23.45,24.09,257142000,AAPL,2015,1,5
2015-01-06,23.64,23.9,23.27,23.7,263188400,AAPL,2015,1,6
2015-01-07,23.97,24.07,23.74,23.85,160423600,AAPL,2015,1,7
2015-01-08,24.89,24.95,24.18,24.3,237458000,AAPL,2015,1,8
2015-01-09,24.92,25.19,24.52,25.06,214798000,AAPL,2015,1,9
2015-01-12,24.3,25.05,24.2,25.05,198603200,AAPL,2015,1,12
2015-01-13,24.52,25.09,24.23,24.79,268367600,AAPL,2015,1,13
2015-01-14,24.42,24.58,24.14,24.26,195826400,AAPL,2015,1,14
2015-01-15,23.76,24.48,23.73,24.47,240056000,AAPL,2015,1,15
2015-01-16,23.58,23.93,23.4,23.81,314053200,AAPL,2015,1,16
2015-01-20,24.18,24.24,23.69,23.99,199599600,AAPL,2015,1,20
2015-01-21,24.37,24.71,24.08,24.24,194303600,AAPL,2015,1,21
2015-01-22,25.0,25.02,24.41,24.53,215185600,AAPL,2015,1,22
2015-01-23,25.13,25.3,24.81,24.98,185859200,AAPL,2015,1,23
2015-01-26,25.16,25.44,25.09,25.3,222460000,AAPL,2015,1,26
2015-01-27,24.28,25.02,24.25,25.01,382274800,AAPL,2015,1,27
2015-01-28,25.65,26.28,25.65,26.17,585908400,AAPL,2015,1,28
2015-01-29,26.45,26.51,25.71,25.88,337745600,AAPL,2015,1,29
2015-01-30,26.06,26.69,25.99,26.34,334982000,AAPL,2015,1,30
2015-02-02,26.39,26.51,25.82,26.26,250956400,AAPL,2015,2,2
2015-02-03,26.39,26.49,26.16,26.36,207662800,AAPL,2015,2,3
2015-02-04,26.6,26.81,26.32,26.36,280598800,AAPL,2015,2,4
2015-02-05,26.79,26.85,26.63,26.8,168984800,AAPL,2015,2,5
2015-02-06,26.56,26.86,26.45,26.8,174826400,AAPL,2015,2,6
2015-02-09,26.74,26.76,26.45,26.48,155559200,AAPL,2015,2,9
2015-02-10,27.25,27.28,26.84,26.84,248034000,AAPL,2015,2,10
2015-02-11,27.89,27.9,27.36,27.42,294247200,AAPL,2015,2,11
2015-02-12,28.24,28.47,28.04,28.15,297898000,AAPL,2015,2,12
2015-02-13,28.38,28.43,28.06,28.43,217088800,AAPL,2015,2,13
2015-02-17,28.55,28.78,28.34,28.47,252609600,AAPL,2015,2,17
2015-02-18,28.75,28.76,28.46,28.5,179566800,AAPL,2015,2,18
2015-02-19,28.69,28.82,28.66,28.69,149449600,AAPL,2015,2,19
2015-02-20,28.92,28.92,28.6,28.72,195793600,AAPL,2015,2,20
2015-02-23,29.7,29.7,28.96,29.04,283896400,AAPL,2015,2,23
2015-02-24,29.52,29.84,29.29,29.69,276912400,AAPL,2015,2,24
2015-02-25,28.76,29.39,28.62,29.38,298846800,AAPL,2015,2,25
2015-02-26,29.13,29.23,28.28,28.76,365150000,AAPL,2015,2,26
2015-02-27,28.69,29.16,28.64,29.03,248059200,AAPL,2015,2,27
2015-03-02,28.83,29.1,28.65,28.87,192386800,AAPL,2015,3,2
2015-03-03,28.89,28.93,28.61,28.8,151265200,AAPL,2015,3,3
2015-03-04,28.71,28.93,28.66,28.83,126665200,AAPL,2015,3,4
2015-03-05,28.23,28.75,28.09,28.72,226068400,AAPL,2015,3,5
2015-03-06,28.27,28.89,28.2,28.68,291368400,AAPL,2015,3,6
2015-03-09,28.39,28.94,27.93,28.58,354114000,AAPL,2015,3,9
2015-03-10,27.81,28.41,27.65,28.23,275426400,AAPL,2015,3,10
2015-03-11,27.3,27.86,27.27,27.86,275756000,AAPL,2015,3,11
2015-03-12,27.79,27.89,27.16,27.32,193450800,AAPL,2015,3,12
2015-03-13,27.6,28.01,27.38,27.78,207309200,AAPL,2015,3,13
2015-03-16,27.9,27.9,27.44,27.67,143497200,AAPL,2015,3,16
2015-03-17,28.37,28.43,28.06,28.12,204092400,AAPL,2015,3,17
2015-03-18,28.69,28.85,28.22,28.36,261083600,AAPL,2015,3,18
2015-03-19,28.47,28.87,28.45,28.75,183238000,AAPL,2015,3,19
2015-03-20,28.12,28.68,27.95,28.64,274780400,AAPL,2015,3,20
2015-03-23,28.41,28.55,28.26,28.39,150838800,AAPL,2015,3,23
2015-03-24,28.29,28.59,28.26,28.41,131369200,AAPL,2015,3,24
2015-03-25,27.55,28.32,27.55,28.26,206620800,AAPL,2015,3,25
2015-03-26,27.75,27.89,27.38,27.42,190291600,AAPL,2015,3,26
2015-03-27,27.53,27.85,27.45,27.82,158184800,AAPL,2015,3,27
2015-03-30,28.22,28.23,27.69,27.7,188398800,AAPL,2015,3,30
2015-03-31,27.79,28.25,27.77,28.16,168362400,AAPL,2015,3,31
2015-04-01,27.75,27.94,27.49,27.88,162485600,AAPL,2015,4,1
2015-04-02,27.99,28.04,27.74,27.92,128880400,AAPL,2015,4,2
2015-04-06,28.44,28.48,27.77,27.8,148776000,AAPL,2015,4,6
2015-04-07,28.14,28.61,28.13,28.51,140049200,AAPL,2015,4,7
2015-04-08,28.05,28.23,27.91,28.11,149316800,AAPL,2015,4,8
2015-04-09,28.26,28.27,27.84,28.11,129936000,AAPL,2015,4,9
2015-04-10,28.38,28.41,27.97,28.13,160752000,AAPL,2015,4,10
2015-04-13,28.33,28.71,28.28,28.67,145460400,AAPL,2015,4,13
2015-04-14,28.21,28.43,28.12,28.36,102098400,AAPL,2015,4,14
2015-04-15,28.31,28.39,28.14,28.23,115881600,AAPL,2015,4,15
2015-04-16,28.18,28.38,28.16,28.2,113476000,AAPL,2015,4,16
2015-04-17,27.86,28.17,27.8,28.04,207828000,AAPL,2015,4,17
2015-04-20,28.5,28.61,27.95,28.04,188217200,AAPL,2015,4,20
2015-04-21,28.34,28.63,28.29,28.61,129740400,AAPL,2015,4,21
2015-04-22,28.72,28.78,28.21,28.36,150618000,AAPL,2015,4,22
2015-04-23,28.96,29.13,28.62,28.65,183083600,AAPL,2015,4,23
2015-04-24,29.1,29.17,28.86,29.14,178103600,AAPL,2015,4,24
2015-04-27,29.62,29.73,29.29,29.55,387816800,AAPL,2015,4,27
2015-04-28,29.16,30.05,28.94,30.03,475696000,AAPL,2015,4,28
2015-04-29,28.73,29.39,28.65,29.07,253544400,AAPL,2015,4,29
2015-04-30,27.95,28.73,27.82,28.73,332781600,AAPL,2015,4,30
2015-05-01,28.8,29.06,27.98,28.16,234050400,AAPL,2015,5,1
2015-05-04,28.74,29.16,28.64,28.92,203953200,AAPL,2015,5,4
2015-05-05,28.09,28.69,28.09,28.62,197085600,AAPL,2015,5,5
2015-05-06,27.92,28.31,27.55,28.26,288564000,AAPL,2015,5,6
2015-05-07,28.09,28.27,27.81,27.98,175763600,AAPL,2015,5,7
2015-05-08,28.62,28.62,28.28,28.41,222201600,AAPL,2015,5,8
2015-05-11,28.33,28.61,28.17,28.57,168143200,AAPL,2015,5,11
2015-05-12,28.23,28.45,27.99,28.17,192640000,AAPL,2015,5,12
2015-05-13,28.26,28.52,28.23,28.29,138776800,AAPL,2015,5,13
2015-05-14,28.92,28.92,28.52,28.57,180814000,AAPL,2015,5,14
2015-05-15,28.88,29.04,28.75,28.95,152832000,AAPL,2015,5,15
2015-05-18,29.2,29.32,28.79,28.79,203531600,AAPL,2015,5,18
2015-05-19,29.17,29.35,29.07,29.31,178532800,AAPL,2015,5,19
